date	source	title	summary
Mon, 04 Jan 2021 17:12:18 +0000	New York Times	Even With $900 Billion Stimulus, Biden Faces Fragile Economy	Despite new pandemic aid, he confronts an economic crisis unlike any since he last entered office in 2009. And political headwinds have only stiffened.
Mon, 04 Jan 2021 17:15:15 +0000	New York Times	Hundreds of Google Employees Unionize, Culminating Years of Activism	The creation of the union, a rarity in Silicon Valley, follows years of increasing outspokenness by Google workers. Executives have struggled to handle the change.
Sat, 02 Jan 2021 13:22:19 +0000	New York Times	As Some Deficit Hawks Turn Dove, the New Politics of Debt Are on Display	Some Republicans who once scolded about fiscal austerity are now embracing government spending, underlining that the public supports more generous relief.
Fri, 01 Jan 2021 10:00:14 +0000	New York Times	Why Markets Boomed in a Year of Human Misery	It wasn’t just the Fed or the stimulus. The rise in savings among white-collar workers created a tide lifting nearly all financial assets.
Fri, 01 Jan 2021 02:31:42 +0000	New York Times	27 Places Raising the Minimum Wage to $15 an Hour	The new year brings another round of increases, nearly a decade after workers started campaigning for higher pay.
Thu, 31 Dec 2020 17:30:56 +0000	New York Times	What Giant Skeletons and Puppy Shortages Told Us About the 2020 Economy	This year was awful, but it gave rise to some interesting social trends. Here’s what they tell us about the economic future.
Sun, 03 Jan 2021 01:15:37 +0000	New York Times	Will an Overdraft Balance Impact Your Stimulus Check?	Banks have the power to decide whether to let overdrawn customers gain access to the stimulus money being deposited into their accounts, but they have taken different approaches.
Thu, 31 Dec 2020 19:48:12 +0000	New York Times	Unemployment Claims Remain High as Millions Still Struggle to Find Work	Applications dipped slightly during Christmas week but at around 800,000 are well above historical levels.
Fri, 01 Jan 2021 20:40:41 +0000	New York Times	U.S. Companies Face China Tariffs as Exclusions Expire	Many American companies saw their exemptions from President Trump’s China tariffs expire at midnight on Thursday.
Thu, 31 Dec 2020 02:25:37 +0000	New York Times	Stimulus Money Should Have Gone to the Jobless, Economists Say	While lawmakers debate increasing the payments to $2,000, most Americans are expected to save, not spend, their $600 checks.
Sun, 03 Jan 2021 05:40:13 +0000	New York Times	How To Spend in 2021	Last year we were just trying to roll with the punches. Hopefully now we can apply some of those survival skills to our finances.
Sun, 03 Jan 2021 01:15:37 +0000	New York Times	Will an Overdraft Balance Impact Your Stimulus Check?	Banks have the power to decide whether to let overdrawn customers gain access to the stimulus money being deposited into their accounts, but they have taken different approaches.
